  4263 1495299171.13614: Loading Connection 'network_cli' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/network_cli.py
  4263 1495299171.13994: Loading ShellModule 'csh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/csh.py
  4263 1495299171.14062: Loading ShellModule 'fish' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/fish.py
  4263 1495299171.14117: Loading ShellModule 'powershell' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/powershell.py
  4263 1495299171.14135: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py
  4263 1495299171.14208: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
  4263 1495299171.46134: Loading TerminalModule 'ios' from /usr/lib/python2.7/dist-packages/ansible/plugins/terminal/ios.py
2017-05-20 16:53:21,257 p=4291 u=vagrant |    4291 1495299201.25655: starting run
2017-05-20 16:53:21,339 p=4291 u=vagrant |    4291 1495299201.33899: Loading CacheModule 'memory' from /usr/lib/python2.7/dist-packages/ansible/plugins/cache/memory.py
2017-05-20 16:53:21,396 p=4291 u=vagrant |    4291 1495299201.39651: Loading CallbackModule 'default' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/default.py
2017-05-20 16:53:21,398 p=4291 u=vagrant |    4291 1495299201.39766: Loading CallbackModule 'actionable' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/actionable.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,398 p=4291 u=vagrant |    4291 1495299201.39845: Loading CallbackModule 'context_demo' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/context_demo.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,399 p=4291 u=vagrant |    4291 1495299201.39921: Loading CallbackModule 'debug' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/debug.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,400 p=4291 u=vagrant |    4291 1495299201.39990: Loading CallbackModule 'default' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/default.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,401 p=4291 u=vagrant |    4291 1495299201.40092: Loading CallbackModule 'dense' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/dense.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,418 p=4291 u=vagrant |    4291 1495299201.41766: Loading CallbackModule 'foreman' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/foreman.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,424 p=4291 u=vagrant |    4291 1495299201.42347: Loading CallbackModule 'hipchat' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/hipchat.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,425 p=4291 u=vagrant |    4291 1495299201.42469: Loading CallbackModule 'jabber' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/jabber.py (found_in_cache=False, class_only=True)
